Year,Movie,Song,GEM!,Singer(s),Music Director(s),Lyrics
1972,Do Chor,Meri jaan meri jaan kehna maano,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Double Cross,Hum dono ki yaari kya kehna,,"Kishore, Bhupinder",R D Burman,Majrooh Sultanpuri
1972,Ek Baar Muskura Do,Ek baar muskura do,,"Kishore, Asha",O P Nayyar,Shewan Rizvi
1972,Ek Baar Muskura Do,Kitne atal the tere iraade,,Kishore,O P Nayyar,Indeevar
1972,Ek Baar Muskura Do,Roop tera aisa darpan mein,,Kishore,O P Nayyar,S H Bihari
1972,Ek Baar Muskura Do,Savere ka sooraj,,Kishore,O P Nayyar,Indeevar
1972,Ek Nazar,Pyaar ko chaahiye kya ek nazar,,Kishore,Laxmikant Pyarelal,Majrooh Sultanpuri
1972,Gomti Ke Kinare,Aao aao jaane-e-jahaan,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1972,Gomti Ke Kinare,Jeene ka din mar jaane ka mausam,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1972,Jangal Mein Mangal,Tum kitni khoobsurat ho,,Kishore,Shankar Jaikishen,Hasrat Jaipuri
1972,Janwar Aur Insan,Jaane mujhe kya hua re,,"Kishore, Lata",Kalyanji Anandji,Gulshan Bawra
1972,Janwar Aur Insan,Mujhe aisi mili haseena,,Kishore,Kalyanji Anandji,Indeevar
1972,Jawani Diwani,Agar saaz chheda,,"Kishore, Asha",R D Burman,Anand Bakshi
1972,Jawani Diwani,Jaane jaan dhhoondta phir raha,Picture,"Kishore, Asha",R D Burman,Anand Bakshi
1972,Jawani Diwani,Nahin nahin abhi nahin,,"Kishore, Asha",R D Burman,Anand Bakshi
1972,Jawani Diwani,Saamne yeh kaun aaya,,Kishore,R D Burman,Anand Bakshi
1972,Jawani Diwani,Yeh jawaani hai deewaani,,Kishore,R D Burman,Anand Bakshi
1972,Joru Ka Ghulam,Aayiye aap ko main apne banglay ki,,Kishore,Kalyanji Anandji,Anand Bakshi
1972,Joru Ka Ghulam,Baras gayi re taras gayi re,,Kishore,Kalyanji Anandji,Anand Bakshi
1972,Joru Ka Ghulam,Mera chain khoya hua hai,,"Kishore, Asha",Kalyanji Anandji,Anand Bakshi
1972,Joru Ka Ghulam,Nainon mein nindiya hai,,"Kishore, Lata",Kalyanji Anandji,Anand Bakshi
1972,Maan Jaiye,Yeh wohi geet hai,,Kishore,Jaidev,Naqsh Lyalpuri
1972,Mere Jeevan Saathi,Apnon ko kab hey shaam,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Mere Jeevan Saathi,Chala jaata hoon kisiki dhun mein,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Mere Jeevan Saathi,Deewaana karke chhodoge,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1972,Mere Jeevan Saathi,Deewaana leke aaya hai,Picture,Kishore,R D Burman,Majrooh Sultanpuri
1972,Mere Jeevan Saathi,Kitne sapne kitne armaan,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Mere Jeevan Saathi,O mere dil ke chain,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Nagina,Tere mere pyaar ka andaaz hai niraala,,"Kishore, Asha",Shankar Jaikishen,Hasrat Jaipuri
1972,Parichay,Musaafir hoon yaaron,,Kishore,R D Burman,Gulzar
1972,Parichay,Sa re ke sa re ga ma ko lekar,,"Kishore, Lata",R D Burman,Gulzar
1972,Piya Ka Ghar,Bambai sheher ki tujhko chal sair,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1972,Piya Ka Ghar,Yeh jeevan hai,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1972,Raja Jani,Jaani O jaani,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1972,Rakhi Aur Hathkadi,Achchhi nahin sanam dillagi,,"Kishore, Asha",R D Burman,Gulzar
1972,Rampur Ka Lakshman,Gum hai kisike pyaar mein,Picture,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1972,Rampur Ka Lakshman,Kaahe apnon ke kaam nahin aaye,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1972,Rampur Ka Lakshman,Pyaar ka samay kam hai jahaan,,"Kishore, Lata, Rafi",R D Burman,Majrooh Sultanpuri
1972,Rampur Ka Lakshman,Raampur ka vaasi hoon main,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Roop Tera Mastana,Dil ki baaten dil hi jaane,,"Kishore, Lata",Laxmikant Pyarelal,Asad Bhopali
1972,Samadhi,Jaan-e-jaana jaao kal phir aana,,Kishore,R D Burman,Majrooh Sultanpuri
1972,Samadhi,Maine dekha ek sapna,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1972,Seeta Aur Geeta,Hawa ke saath saath,,"Kishore, Asha",R D Burman,Anand Bakshi
1972,Seeta Aur Geeta,Koi ladki mujhe kal raat,,"Kishore, Lata",R D Burman,Anand Bakshi
1972,Shehzada,Na jaiyo chhod ke na jaiyo,,"Kishore, Lata",R D Burman,Rajendra Krishan
1972,Shehzada,Thhokar mein hai meri,,Kishore,R D Burman,Rajendra Krishan
1972,Victoria No. 203,Dekha maine dekha,,Kishore,Kalyanji Anandji,Indeevar
1972,Victoria No. 203,Do bechaare bina sahaare,,"Kishore, Mahendra Kapoor",Kalyanji Anandji,Verma Malik
1972,Victoria No. 203,Tu na mili to hum jogi ban jaayenge,,Kishore,Kalyanji Anandji,Indeevar
1972,Yeh Gulistan Hamara,Gori gori gaaon ki gori re,,"Kishore, Lata",S D Burman,Anand Bakshi
1973,Aa Gale Lag Jaa,Ae mere bete sun mera kehna,,"Kishore, Sushma Shrestha",R D Burman,Sahir Ludhianvi
1973,Aa Gale Lag Jaa,Na koi dil mein samaaya,,Kishore,R D Burman,Sahir Ludhianvi
1973,Aa Gale Lag Jaa,Tera mujh se hai pehle ka naata (Duet),,"Kishore, Sushma Shrestha",R D Burman,Sahir Ludhianvi
1973,Aa Gale Lag Jaa,Tera mujh se hai pehle ka naata (M),Picture,Kishore,R D Burman,Sahir Ludhianvi
1973,Aa Gale Lag Jaa,Vaada karo nahin chhodogi,,"Kishore, Lata",R D Burman,Sahir Ludhianvi
1973,Aarop,Nainon mein darpan hai,,"Kishore, Lata",Bhupen Hazarika,Maya Govind
1973,Abhimaan,Meet na mila re man ka,,Kishore,S D Burman,Majrooh Sultanpuri
1973,Abhimaan,Tere mere milan ki yeh raina,,"Kishore, Lata",S D Burman,Majrooh Sultanpuri
1973,Anamika,Meri bheegi bheegi si,,Kishore,R D Burman,Majrooh Sultanpuri
1973,Anhonee,Main to ek paagal,,"Kishore, Asha",Laxmikant Pyarelal,Verma Malik
1973,Anokhi Ada,Haal kya hai dilon ka,,Kishore,Laxmikant Pyarelal,Majrooh Sultanpuri
1973,Anokhi Ada,Sundari aye haaye sundari,,Kishore,Laxmikant Pyarelal,Majrooh Sultanpuri
1973,Bada Kabutar,Haaye re haaye re yeh dil mera,,"Kishore, Asha",R D Burman,Yogesh
1973,Banarasi Babu,Bure bhi hum bhale bhi hum,,Kishore,Kalyanji Anandji,Rajendra Krishan
1973,Bandhe Haath,Kya jaano main hoon kaun,,Kishore,R D Burman,Majrooh Sultanpuri
1973,Blackmail,Mile mile do badan,,"Kishore, Lata",Kalyanji Anandji,Rajendra Krishan
1973,Blackmail,Pal pal dil ke paas,Picture,Kishore,Kalyanji Anandji,Rajendra Krishan
1973,Chalaak,Dil ka nazraana le,,"Kishore, Asha",Ganesh,Hasrat Jaipuri
1973,Chalaak,Duniya faani behta paani,,"Kishore, Asha",Ganesh,Hasrat Jaipuri
1973,Chhupa Rustam,Dheere se jaana khatiyan mein,,Kishore,S D Burman,Neeraj
1973,Daag,Ab chaahe maa roothhe ya baaba,,"Kishore, Lata",Laxmikant Pyarelal,Sahir Ludhianvi
1973,Daag,Hum aur tum tum aur hum,,"Kishore, Lata",Laxmikant Pyarelal,Sahir Ludhianvi
1973,Daag,Mere dil mein aaj kya hai,Picture,Kishore,Laxmikant Pyarelal,Sahir Ludhianvi
1973,Dhamkee,Chand kya hai roop ka darpan,,"Kishore, Asha",Ganesh,Asad Bhopali
1973,Dhamkee,Kali se nazaaron se bahaaron se,,Kishore,Ganesh,Verma Malik
1973,Ek Mutthi Aasman,Har koi chaahta hai ek mutthi aasmaan,,Kishore,Madan Mohan,Indeevar
1973,Ek Mutthi Aasman,Pyaar kabhi kam na karna sanam,,"Kishore, Vani Jayaram",Madan Mohan,Indeevar
1973,Gehri Chaal,Jaipur ki choli mangwa de re saiyaaan,,"Kishore, Asha",Laxmikant Pyarelal,Rajendra Krishan
1973,Heera Panna,Bahut door mujhe chale jaana hai,Picture,"Kishore, Lata",R D Burman,Anand Bakshi
1973,Heera Panna,Ek paheli hai tu,,Kishore,R D Burman,Anand Bakshi
1973,Heera Panna,Main tasveer utaarta hoon,,Kishore,R D Burman,Anand Bakshi
1973,Heera Panna,Panna ki tamanna hai,,"Kishore, Lata",R D Burman,Anand Bakshi
1973,Intezar,Chanda ki kirnon se lipti hawaayen,,Kishore,Chitragupt,Verma Malik
1973,Jaise Ko Taisa,Abke saawan mein jee dare,,"Kishore, Lata",R D Burman,Anand Bakshi
1973,Jheel Ke Us Paar,Kya nazaare kya sitaare,,Kishore,R D Burman,Anand Bakshi
1973,Joshila,Dil mein jo baaten hain,,"Kishore, Asha",R D Burman,Sahir Ludhianvi
1973,Joshila,Kiska rasta dekhe,,Kishore,R D Burman,Sahir Ludhianvi
1973,Joshila,Kuchh bhi kar lo,,"Kishore, Lata",R D Burman,Sahir Ludhianvi
1973,Jugnu,Gir gaya jhumka girne do,,"Kishore, Lata",S D Burman,Anand Bakshi
1973,Jugnu,Pyaar ke is khel mein,,Kishore,S D Burman,Anand Bakshi
1973,Jwar Bhata,Turu ruru turu ruru tera mera pyar shuru,,Kishore,Laxmikant Pyarelal,Rajendra Krishan
1973,Jwar Bhata,Yeh samjho aur samjhaao,,"Kishore, Lata",Laxmikant Pyarelal,Rajendra Krishan
1973,Kahani Kismat Ki,Duniya mujhse kehti hai,,Kishore,Kalyanji Anandji,Rajendra Krishan
1973,Kahani Kismat Ki,Rafta rafta dekho,,Kishore (+ Rekha),Kalyanji Anandji,Rajendra Krishan
1973,Keemat,Maaf karo O baaba maaf karo,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1973,Manchali,Gham ka fasaana,,Kishore (+ Leena Chandawarkar),Laxmikant Pyarelal,Anand Bakshi
1973,Manchali,Mile kaheen do ajnabee,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1973,Manchali,O manchali kahaan chali,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1973,Namak Haram,Diye jalte hain phool khilte hain,,Kishore,R D Burman,Anand Bakshi
1973,Namak Haram,Main shaayar badnaam,Picture,Kishore,R D Burman,Anand Bakshi
1973,Namak Haram,Nadiya se dariya,Picture,Kishore,R D Burman,Anand Bakshi
1973,Naya Nasha,Ek ladki le gayi dil,,Kishore,Sapan Chakravarty,Anand Bakshi
1973,Paanch Dushman,Jaana hai hame to jahaan,,"Kishore, Lata",R D Burman,Majrooh Sultanpuri
1973,Paanch Dushman,Jeena to hai par ae dil kahaan,,Kishore,R D Burman,Majrooh Sultanpuri
1973,Paanch Dushman,Jo bhi hua hai woh pyar mein hua hai,,Kishore,R D Burman,Majrooh Sultanpuri
1973,Phagun,Kab maane dil ke mastaane,,"Kishore, Asha",S D Burman,Majrooh Sultanpuri
1973,Raja Rani,Main ek chor tu meri raani,,"Kishore, Lata",R D Burman,Anand Bakshi
1973,Samjhauta,Samjhauta ghamon se kar lo (M),,Kishore,Kalyanji Anandji,Indeevar
1973,Shareef Badmash,Neend churaake raaton mein,,"Kishore, Asha",R D Burman,Anand Bakshi
1973,Shareef Badmash,Tere sau deewaane,,Kishore,R D Burman,Anand Bakshi
1973,Yaadon Ki Baraat,Aapke kamre mein koi rehta hai,,"Kishore, Asha, R D Burman",R D Burman,Majrooh Sultanpuri
1973,Yaadon Ki Baraat,Le kar hum deewaana dil,Picture,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1973,Yaadon Ki Baraat,O meri soni,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1973,Yaadon Ki Baraat,Yaadon ki baaraat nikli hai (M-Duet),Picture,"Kishore, Rafi",R D Burman,Majrooh Sultanpuri
1974,36 Ghante,Jaane aaj kya hua,,"Kishore, Asha",Sapan Chakravarty,Sahir Ludhianvi
1974,Aap Ki Kasam,Jai jai shiv shankar,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Aap Ki Kasam,Karvaten badalte rahen,Picture,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Aap Ki Kasam,Paas nahin aana,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Aap Ki Kasam,Suno kaho kaha suna,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Aap Ki Kasam,Zindagi ke safar mein,,Kishore,R D Burman,Anand Bakshi
1974,Ajnabee,Bheegi bheegi raaton mein,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Ajnabee,Ek ajnabee haseena se,,Kishore,R D Burman,Anand Bakshi
1974,Ajnabee,Hum dono do premee,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Amir Garib,Kahin janaab ko mera to intezaar nahin,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Amir Garib,Main aaya hoon leke saaz haathon mein,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Amir Garib,Mere pyaale mein sharaab daal de,,"Kishore, Manna Dey",Laxmikant Pyarelal,Anand Bakshi
1974,Amir Garib,Moni aur Soni ki hai jodi ajeeb,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Badla,Shor mach gaya shor,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Bidaai,Kabhi khole na tijori ka taala,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Call Girl,Jawaani mere yaara,,"Kishore, Ranu Mukherjee",Sapan Jagmohan,Naqsh Lyalpuri
1974,Call Girl,Ulfat mein zamaane ki (M),,Kishore,Sapan Jagmohan,Naqsh Lyalpuri
1974,Charitraheen,Dil se dil milne ka,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Chor Machaye Shor,Ghungroo ki tarah,,Kishore,Ravindra Jain,Ravindra Jain
1974,Chor Machaye Shor,Le jaayenge le jaayenge dilwaale,,"Kishore, Asha",Ravindra Jain,Indrajit Singh Tulsi
1974,Dil Diwana,Kisise dosti kar lo,,"Kishore, Asha",R D Burman,Anand Bakshi
1974,Dost,Gaadi bula rahi hai,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Haath Ki Safai,Peene waalon ko peene ka,,"Kishore, Hema Malini",Kalyanji Anandji,Gulshan Bawra
1974,Humshakal,Hum tum gum sum raat milan ki,,"Kishore, Asha",R D Burman,Anand Bakshi
1974,Humshakal,Rasta dekhe tera vyaakul man mera,,Kishore,R D Burman,Anand Bakshi
1974,Imtihaan,Ruk jaana nahin tu kahin haar ke,Picture,Kishore,Laxmikant Pyarelal,Majrooh Sultanpuri
1974,Ishq Ihsq Ishq,Mujhko agar ijaazat ho,,Kishore,R D Burman,Anand Bakshi
1974,Ishq Ishq Ishq,Chal saathi chal,,Kishore,R D Burman,Anand Bakshi
1974,Kasauti,Ho jaata hai pyaar,,"Kishore, Lata",Kalyanji Anandji,Anand Bakshi
1974,Kora Kagaz,Mera jeevan kora kaagaz,Picture,Kishore,Kalyanji Anandji,M G Hashmat
1974,Kunwara Baap,Aa ri aa jaa nindiya,,"Kishore, Lata",Rajesh Roshan,Majrooh Sultanpuri
1974,Majboor,Aadmi jo kehta hai,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Majboor,Dekh sakta hoon main,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Manoranjan,Aaya hoon main tujhko le jaaoonga,,"Kishore, Asha",R D Burman,Anand Bakshi
1974,Manoranjan,Goya ke chunanche,,"Kishore, Lata, Manna Dey",R D Burman,Anand Bakshi
1974,Mr. Romeo,Na soyenge na sone denge,,"Kishore, Lata",R D Burman,Anand Bakshi
1974,Prem Nagar,Ja mujhe na ab yaad aa,,Kishore,S D Burman,Anand Bakshi
1974,Prem Nagar,Kiska mahal hai kiska yeh ghar hai,,"Kishore, Lata",S D Burman,Anand Bakshi
1974,Prem Nagar,Thhandi hawaaon ne gori ka,,"Kishore, Asha",S D Burman,Anand Bakshi
1974,Prem Nagar,Yeh kaisa sur mandir hai,,"Kishore, Lata",S D Burman,Anand Bakshi
1974,Prem Nagar,Yeh laal rang kab mujhe chhodega,,Kishore,S D Burman,Anand Bakshi
1974,Roti,Gore rang pe na itna gumaan kar,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1974,Roti,Naach meri bulbul,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Roti,Yaar hamaari baat suno,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Roti,Yeh jo public hai,,Kishore,Laxmikant Pyarelal,Anand Bakshi
1974,Sagina,Saala main to sahab ban gaya,,Kishore (+ Pankaj Mitra),S D Burman,Majrooh Sultanpuri
1974,Sagina,Tumre sang to rain bitaayi,,"Kishore, Lata",S D Burman,Majrooh Sultanpuri
1974,Trimurti,Milegi ek nayi zindagi milegi,,"Kishore, Lata",R D Burman,Gulshan Bawra
1974,Vachan,Dil ka guldasta baahon ka haar,,"Kishore, Sharda",Shankar Jaikishen,Shaily Shailendra
1974,Zehreela Insaan,O hansini meri hansini,Picture,Kishore,R D Burman,Majrooh Sultanpuri
1975,Aakraman,Yeh mausam aaya hai,,"Kishore, Lata",Laxmikant Pyarelal,Anand Bakshi
1975,Aandhi,Is mod se jaate hain,Picture,"Kishore, Lata",R D Burman,Gulzar
1975,Aandhi,Tere bina zindagi se koi,Picture,"Kishore, Lata",R D Burman,Gulzar
1975,Aandhi,Tum aa gaye ho noor aa gaya hai,Picture,"Kishore, Lata",R D Burman,Gulzar
1975,Amanush,Dil aisa kisi ne mera toda,,Kishore,Shyamlal Mitra,Indeevar
1975,Deewaar,Keh doon tumhe ya chup rahoon,,"Kishore, Asha",R D Burman,Sahir Ludhianvi
1975,Deewaar,Maine tujhe manga tujhe paaya hai,,"Kishore, Asha",R D Burman,Sahir Ludhianvi
1975,Dharam Karam,Na ho bas mein tere,,"Mukesh, Kishore, Sushma Shrestha",R D Burman,Majrooh Sultanpuri
1975,Dharam Karam,Tere hamsafar geet hain tere,,"Mukesh, Asha, Kishore",R D Burman,Majrooh Sultanpuri
1975,Dharmatma,Tere chehre mein woh jaadoo hai,,Kishore,Kalyanji Anandji,Indeevar
1975,Ek Mahal Ho Sapno Ka,Dekha hain zindagi ko,,Kishore,Ravi,Sahir Ludhianvi
1975,Ek Mahal Ho Sapno Ka,Dil mein kisi ke pyaar ka (M),,Kishore,Ravi,Sahir Ludhianvi
1975,Faraar,Main pyaasa tum saawan (duet),,"Kishore, Lata",Kalyanji Anandji,Rajendra Krishan
1975,Faraar,Main pyaasa tum saawan (M),,Kishore,Kalyanji Anandji,Rajendra Krishan
1975,Julie,Bhool gaya sab kuchh,,"Kishore, Lata",Rajesh Roshan,Anand Bakshi
1975,Julie,Dil kya kare jab kisise,,Kishore,Rajesh Roshan,Anand Bakshi
1975,Kaala Sona,Tak jhoom naacho nashe main choor,,"Kishore, Asha",R D Burman,Majrooh Sultanpuri
1975,Khel Khel Mein,Aaye lo pyaar ke din aaye,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khel Khel Mein,Ek main aur ek tu,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khel Khel Mein,Khullam khulla pyaar karenge,,"Kishore, Asha",R D Burman,Gulshan Bawra
1975,Khushboo,O maanjhi re apna kinaara,Picture,Kishore,R D Burman,Gulzar
